1	1	A1	ASMS	75011	Φιλοσοφώτατον	φιλοσοφωτατον	φιλοσοφωτατον	φιλόσοφος				FILOSOFW/TATON	FILO/SOFOS
1	1	N2	ASM	9474	λόγον	λογον	λογον	λόγος				LO/GON	LO/GOS
1	1	V5	PMN	308609	ἐπιδείκνυσθαι	ἐπιδεικνυσθαι	επιδεικνυσθαι	ἐπιδείκνυμι				E)PIDEI/KNUSQAI	DEIKNU/W         E)PI
1	1	V1	PAPNSM	4793793	μέλλων	μελλων	μελλων	μέλλω			,	ME/LLWN	ME/LLW
1	1	C		4	εἰ	εἰ	ει	εἰ				EI)	EI)
1	1	N2	NSM	9346	αὐτοδέσποτός	αὐτοδεσποτος	αυτοδεσποτος	αὐτοδέσποτος				AU)TODE/SPOTO/S	AU)TODE/SPOTOS
1	1	V9	PAI3S	631937	ἐστιν	ἐστιν	εστιν	εἰμί				E)STIN	EI)MI/
1	1	RA	GPN	10	τῶν	των	των	ὁ				TW=N	O(
1	1	N3E	GPN	18242	παθῶν	παθων	παθων	πάθος				PAQW=N	PA/QOS
1	1	RA	NSM	10	ὁ	ὁ	ο	ὁ				O(	O(
1	1	A3H	NSM	9347	εὐσεβὴς	εὐσεβης	ευσεβης	εὐσεβής				EU)SEBH\S	EU)SEBH/S
1	1	N2	NSM	9346	λογισμός	λογισμος	λογισμος	λογισμός			,	LOGISMO/S	LOGISMO/S
1	1	VA	AAO1S	600897	συμβουλεύσαιμ	συμβουλευσαιμ	συμβουλευσαιμ	συμβουλεύω				SUMBOULEU/SAIM'	BOULEU/W         SUN
1	1	X		5	ἂν	ἀν	αν	ἄν				A)\N	A)/N
1	1	RP	DP	13	ὑμῖν	ὑμιν	υμιν	ὑμῖν				U(MI=N	SU/
1	1	D		9	ὀρθῶς	ὀρθως	ορθως	ὀρθῶς				O)RQW=S	O)RQW=S
1	1	C		4	ὅπως	ὁπως	οπως	ὅπως				O(/PWS	O(/PWS
1	1	V1	PAS2P	894209	προσέχητε	προσεχητε	προσεχητε	προσέχω				PROSE/XHTE	E)/XW            PROS
1	1	D		9	προθύμως	προθυμως	προθυμως	προθύμως				PROQU/MWS	PROQU/MWS
1	1	RA	DSF	10	τῇ	τη	τη	ὁ				TH=|	O(
1	1	N1A	DSF	13698	φιλοσοφίᾳ	φιλοσοφια	φιλοσοφια	φιλοσοφία			.	FILOSOFI/A|	FILOSOFI/A
1	2	C		4	καὶ	και	και	καί				KAI\	KAI/
1	2	X		5	γὰρ	γαρ	γαρ	γάρ				GA\R	GA/R
1	2	A1A	NSM	9347	ἀναγκαῖος	ἀναγκαιος	αναγκαιος	ἀναγκαῖος				A)NAGKAI=OS	A)NAGKAI=OS
1	2	P		8	εἰς	εἰς	εις	εἰς				EI)S	EI)S
1	2	N1	ASF	13570	ἐπιστήμην	ἐπιστημην	επιστημην	ἐπιστήμη				E)PISTH/MHN	E)PISTH/MH
1	2	A3	DSM	9603	παντὶ	παντι	παντι	πᾶς				PANTI\	PA=S
1	2	RA	NSM	10	ὁ	ὁ	ο	ὁ				O(	O(
1	2	N2	NSM	9346	λόγος	λογος	λογος	λόγος				LO/GOS	LO/GOS
1	2	C		4	καὶ	και	και	καί				KAI\	KAI/
1	2	D		9	ἄλλως	ἀλλως	αλλως	ἄλλως				A)/LLWS	A)/LLWS
1	2	RA	GSF	10	τῆς	της	της	ὁ				TH=S	O(
